name,category,latitude,longitude,price_min,price_max,price_type,city,country,description
National Archives and Library of Ethiopia,history,9.0180,38.7498,0,100,entry,Addis Ababa,Ethiopia,Historical manuscripts and documents library; photography may incur extra fee.
Addis Ababa Zoo (Lion Zoo),nature,9.0430,38.7620,50,300,entry,Addis Ababa,Ethiopia,Home of Abyssinian lions and other animals; pricing often differs for locals and foreigners.
Derba Falls,nature,9.4280,38.6550,0,500,entry+guide,Addis Ababa,Ethiopia,Waterfall near Sululta; guide often required and negotiable.
Jan Meda,culture,9.0429,38.7689,0,0,free,Addis Ababa,Ethiopia,Public field used for major festivals like Timkat.
Yared School of Music,art,9.0430,38.7580,0,0,free,Addis Ababa,Ethiopia,Music institution; access depends on events or concerts.
Lake Hawassa Waterfront,nature,7.0580,38.4650,0,0,free,Hawassa,Ethiopia,Scenic lakefront with hippos and birds; boat trips extra.
Fish Market (Amora Gedel),food,7.0620,38.4680,0,300,food,Hawassa,Ethiopia,No entry fee; pay for fresh fish meals (small park/hyena feeding nearby may have ~50 ETB fee).
Tabor Mountain,nature,7.0450,38.4950,0,50,informal,Hawassa,Ethiopia,Viewpoint hill with occasional small local fee.
St. Gabriel Church,culture,7.0510,38.4820,0,0,free,Hawassa,Ethiopia,Major Ethiopian Orthodox church; donations optional.
Hawassa Industrial Park,science,7.0850,38.4520,0,0,restricted,Hawassa,Ethiopia,Access limited; entry only with prior permission.
Lewi Resort Park,relaxation,7.0650,38.4620,0,200,service,Hawassa,Ethiopia,Entry often free; pay for activities, food or services.
Tikur Wuha Park,nature,7.0920,38.4250,50,100,entry,Hawassa,Ethiopia,Forest park with monkeys and biodiversity.
Gudumale Recreation Center,culture,7.0550,38.4690,50,150,entry,Hawassa,Ethiopia,Cultural ground for Sidama events and celebrations.
Hawassa University Botanical Garden,nature,7.0520,38.5020,0,50,entry,Hawassa,Ethiopia,Educational plant garden.
South Star Plaza,shopping,7.0490,38.4750,0,0,free,Hawassa,Ethiopia,Modern commercial shopping center.
United Pentecostal Church,culture,7.0420,38.4880,0,0,free,Hawassa,Ethiopia,Modern church building.
Wassa Hotel Viewpoint,relaxation,7.0610,38.4630,0,0,free,Hawassa,Ethiopia,Popular sunset viewpoint over the lake.
Millennium Park,nature,7.0570,38.4780,0,30,entry,Hawassa,Ethiopia,Small local park.
Haile Resort Grounds,relaxation,7.0720,38.4550,0,300,service,Hawassa,Ethiopia,Luxury resort; pay for access to grounds, activities or food.
Aregash Lodge Trail,nature,6.8500,38.4100,150,400,guide,Hawassa,Ethiopia,Eco-trail near lodge; guide recommended.
Hawassa Public Library,culture,7.0480,38.4850,0,0,free,Hawassa,Ethiopia,Community library.
Adare Cultural Village,culture,7.0680,38.4720,100,300,entry+guide,Hawassa,Ethiopia,Traditional Sidama cultural experience with guide.
Sidama Cultural Hall,art,7.0440,38.4810,0,100,event,Hawassa,Ethiopia,Venue for events and cultural performances.
Yirgalem Coffee Plantation,food,6.7500,38.4200,200,500,tour,Hawassa,Ethiopia,Coffee plantation tours with tasting.
Loka Abaya National Park,nature,6.9500,38.1500,100,600,entry+guide+vehicle,Hawassa,Ethiopia,Wildlife park; guide and transport usually required.
Blue Nile Falls (Tis Abay),nature,11.4850,37.5880,50,600,entry+guide+boat,Bahir Dar,Ethiopia,Impressive waterfall; entry ~50 ETB/person, guide ~400/group, boat crossing ~20/person (prices negotiable).
Lake Tana,nature,11.6000,37.3830,0,2000,boat_tour,Bahir Dar,Ethiopia,Lake access free; boat tours to monasteries cost 500–1500+ ETB depending on group size.
Ura Kidane Mehret,history,11.7010,37.3120,100,500,entry,Bahir Dar,Ethiopia,Famous island monastery with beautiful murals.
Azwa Maryam,history,11.6980,37.3150,100,300,entry,Bahir Dar,Ethiopia,Historic church on Zege Peninsula.
Blue Nile Bridge,science,11.5950,37.4020,0,0,free,Bahir Dar,Ethiopia,Scenic bridge viewpoint.
Bezawit Hill Palace,history,11.5810,37.4120,0,0,free,Bahir Dar,Ethiopia,Historic hilltop palace with views.
Martyrs Memorial Monument,culture,11.5890,37.3850,0,100,entry,Bahir Dar,Ethiopia,Memorial and small regional history exhibit.
Church of St. George,culture,11.6020,37.3910,0,50,donation,Bahir Dar,Ethiopia,Important religious site.
Bahir Dar Market,shopping,11.5920,37.3950,0,0,free,Bahir Dar,Ethiopia,Vibrant open market.
Lake Tana Marine Transport,relaxation,11.6050,37.3820,500,2000,boat_tour,Bahir Dar,Ethiopia,Boat trips to monasteries and islands.
Debre Maryam Monastery,history,11.6150,37.4100,100,300,entry,Bahir Dar,Ethiopia,Small monastery near Blue Nile outlet.
Kibran Gebriel,history,11.6450,37.3750,200,500,entry,Bahir Dar,Ethiopia,Monastery (access restricted to men only in some areas).
Entos Eyesu,culture,11.6800,37.3500,100,300,entry,Bahir Dar,Ethiopia,Island monastery with small museum.
Bahir Dar University Park,nature,11.5750,37.4050,0,0,free,Bahir Dar,Ethiopia,Green campus area.
Zegie Peninsula,nature,11.6900,37.3200,0,400,entry+tour,Bahir Dar,Ethiopia,Forest peninsula with monasteries and coffee farms.
Nech Sar National Park,nature,5.9800,37.5500,100,800,entry+guide+vehicle,Arba Minch,Ethiopia,National park with wildlife; guide and vehicle usually required (fees low but extras add up).
Forty Springs (Arba Minch Springs),nature,6.0150,37.5650,20,100,entry,Arba Minch,Ethiopia,Natural springs in forest setting.
Crocodile Market,nature,5.9250,37.5850,0,100,tip,Arba Minch,Ethiopia,Viewing point for crocodiles; tips optional.
Lake Chamo,nature,5.8333,37.4833,0,800,boat,Arba Minch,Ethiopia,Boat tours for crocodiles and hippos (costs vary by boat size).
Arba Minch Crocodile Ranch,science,6.0230,37.5550,50,200,entry,Arba Minch,Ethiopia,Crocodile conservation and breeding center.
Dorze Village,culture,6.1950,37.5350,200,600,guide_package,Arba Minch,Ethiopia,Traditional Dorze cultural village tours with local guides.
Guge Mountain,nature,6.2100,37.5000,0,0,free,Arba Minch,Ethiopia,Popular trekking destination.
Lake Abaya,nature,6.2333,37.8833,0,0,free,Arba Minch,Ethiopia,Large Rift Valley lake with scenic views.
Haile Resort Viewpoint,relaxation,6.0350,37.5610,0,0,free,Arba Minch,Ethiopia,Excellent viewpoint over lakes.
Paradise Lodge Walkway,relaxation,6.0120,37.5450,50,150,entry,Arba Minch,Ethiopia,Scenic cliff walkway at the lodge.
Arba Minch Forest,nature,6.0080,37.5620,0,100,entry,Arba Minch,Ethiopia,Forest area with wildlife.
Chencha Market,shopping,6.2500,37.5830,0,0,free,Arba Minch,Ethiopia,Local market known for textiles.
Abaya-Chamo Viewpoint,nature,6.0450,37.5480,0,0,free,Arba Minch,Ethiopia,"Bridge of God" scenic viewpoint.
Shecha District,culture,6.0150,37.5600,0,0,free,Arba Minch,Ethiopia,Upper town district with local atmosphere.
Emperor Yohannes IV Palace,history,13.4967,39.4750,100,300,entry,Mekelle,Ethiopia,Historic palace now a museum.
